"Douglas","Douglas","54.1500","-4.4819","Isle Of Man","IM","IMN","","primary","27938","1833688345"
"Ramsey","Ramsey","54.3211","-4.3844","Isle Of Man","IM","IMN","","","7309","1833166352"
