"King Edward Point","King Edward Point","-54.2833","-36.5000","South Georgia And South Sandwich Islands","GS","SGS","","primary","","1239048838"
"Grytviken","Grytviken","-54.2806","-36.5080","South Georgia And South Sandwich Islands","GS","SGS","","","99","1239048837"
